# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22418,15,1,32,12,15,0,5,9
43,540,0,0,0,3,0,0,0
2,5,55,1,0,8,0,5,3
148,8,0,543,32,11,0,9,7
14,0,0,5,1409,0,0,0,0
117,74,7,33,1,325,1,4,9
0,0,0,1,0,0,20,0,0
1,1,1,1,0,0,2,102,0
45,0,0,0,1,3,0,0,154
