# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22293,0,1,65,30,69,0,2,47
125,391,1,19,0,43,0,2,5
1,5,39,2,1,26,0,3,2
290,5,0,409,11,34,1,6,2
14,0,0,53,1361,0,0,0,0
217,23,5,73,1,240,2,5,5
0,0,0,1,0,0,20,0,0
1,2,2,8,2,2,4,87,0
131,0,1,8,3,34,0,0,26
