# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22298,15,25,17,40,76,0,7,29
100,407,0,1,0,70,0,2,6
2,6,32,2,0,32,0,4,1
285,12,2,374,41,29,0,6,9
16,0,0,44,1367,1,0,0,0
226,51,4,44,2,236,0,3,5
0,0,0,1,0,0,20,0,0
0,8,1,2,1,2,1,93,0
132,4,2,7,2,36,0,1,19
