# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22440,4,0,2,6,2,0,2,51
179,370,4,5,0,25,0,1,2
8,13,26,3,0,25,0,4,0
522,17,8,163,18,7,2,20,1
64,4,0,40,1320,0,0,0,0
388,36,8,20,0,114,1,3,1
0,0,0,1,0,0,20,0,0
4,7,1,2,1,7,1,85,0
178,5,0,2,2,7,0,0,9
