# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22351,10,1,64,17,43,0,3,18
56,495,5,2,0,23,0,0,5
0,5,48,1,0,18,0,3,4
175,5,1,536,14,18,0,4,5
20,0,0,39,1369,0,0,0,0
138,45,8,39,1,321,0,4,15
0,0,0,1,0,0,20,0,0
0,0,3,9,2,2,3,89,0
93,0,2,8,1,32,0,1,66
