# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22403,11,0,42,9,18,0,19,5
151,393,1,11,1,26,1,2,0
3,10,36,2,0,20,1,7,0
357,27,0,325,25,21,0,3,0
30,0,0,93,1305,0,0,0,0
309,24,5,47,1,178,2,5,0
0,0,0,3,0,0,18,0,0
0,10,1,8,1,20,13,55,0
170,3,0,9,1,16,0,2,2
