# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
21629,50,1,553,27,120,0,9,118
17,551,3,3,0,10,0,0,2
0,2,66,0,0,5,1,2,3
20,8,6,671,14,22,2,6,9
1,0,0,16,1410,0,0,0,1
37,44,9,47,2,416,0,1,15
0,0,0,0,0,0,21,0,0
0,1,3,6,1,6,2,89,0
11,0,4,4,1,5,0,0,178
