# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22297,3,1,89,23,44,0,8,42
60,475,5,1,0,37,0,1,7
0,4,54,0,0,9,1,5,6
157,5,1,540,19,25,0,4,7
18,0,0,36,1374,0,0,0,0
116,36,12,44,0,336,1,2,24
0,0,0,0,0,0,21,0,0
1,1,1,3,1,7,3,91,0
89,0,2,11,0,38,0,0,63
