# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22294,20,1,83,20,59,0,5,25
52,490,9,1,1,29,0,0,4
0,7,52,1,0,13,0,2,4
150,4,3,527,20,43,1,3,7
20,0,0,24,1384,0,0,0,0
100,34,8,25,0,382,1,1,20
0,0,0,1,0,0,20,0,0
0,0,2,4,1,6,2,93,0
91,2,0,6,1,30,0,2,71
