# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22331,23,0,20,33,57,0,5,38
138,416,5,0,1,22,0,0,4
5,27,27,0,0,16,1,3,0
335,15,12,283,62,36,5,3,7
22,0,0,27,1378,1,0,0,0
341,60,14,42,2,93,3,1,15
0,0,0,0,0,0,21,0,0
0,5,1,5,1,2,4,89,1
159,6,0,5,2,22,0,0,9
