# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
21784,44,1,291,21,219,0,16,131
13,544,4,0,0,24,0,0,1
0,0,69,1,0,6,0,2,1
40,5,1,656,12,28,0,8,8
5,1,0,29,1391,0,0,0,2
31,31,10,33,0,451,0,5,10
0,0,0,0,0,0,21,0,0
0,0,3,1,0,2,2,100,0
11,0,0,0,1,7,0,0,184
