# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22380,5,1,82,20,5,0,5,9
126,393,3,23,1,36,0,0,4
1,0,49,2,0,22,0,3,2
304,8,3,395,23,10,0,15,0
16,0,0,46,1362,0,0,0,4
267,33,20,78,2,162,1,1,7
0,0,0,2,0,0,19,0,0
0,3,4,3,0,4,1,92,1
144,2,2,13,0,7,0,0,35
