# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22383,0,1,16,32,38,0,2,35
111,432,1,2,0,23,0,6,11
2,15,38,1,0,18,0,2,3
294,9,0,377,17,47,3,4,7
21,0,0,36,1371,0,0,0,0
233,51,6,30,0,228,0,6,17
0,0,0,0,0,0,21,0,0
1,2,1,8,2,5,3,86,0
131,2,1,1,3,37,0,0,28
