# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22249,34,1,99,13,49,0,7,55
21,553,2,0,0,7,0,0,3
0,1,66,1,0,5,0,3,3
71,4,2,632,10,24,0,8,7
8,0,0,25,1393,0,0,0,2
50,39,8,33,0,428,0,4,9
0,0,0,1,0,0,20,0,0
1,1,2,1,0,3,2,98,0
16,0,2,2,1,5,0,0,177
