# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22400,3,0,25,3,56,0,2,18
157,370,0,6,0,50,1,0,2
8,15,14,1,0,37,1,3,0
450,20,5,205,10,46,5,12,5
57,1,0,66,1303,1,0,0,0
378,37,2,25,0,125,2,0,2
0,0,0,0,0,0,21,0,0
2,9,1,5,0,5,3,83,0
177,1,0,5,1,14,0,0,5
