# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22431,13,1,16,5,24,0,2,15
43,527,4,0,0,12,0,0,0
2,1,60,1,0,8,0,2,5
139,5,0,563,11,29,0,5,6
20,0,0,20,1388,0,0,0,0
99,38,3,19,0,403,0,1,8
0,0,0,1,0,0,20,0,0
6,1,2,1,0,5,2,90,1
40,0,0,0,1,15,0,0,147
