# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
21989,28,1,198,34,144,0,2,111
63,438,6,5,0,64,0,2,8
0,0,52,2,0,24,0,1,0
171,5,5,490,40,24,0,13,10
6,0,0,34,1384,0,0,0,4
135,28,23,69,2,293,2,0,19
0,0,0,0,0,0,21,0,0
0,1,4,4,0,10,2,87,0
99,4,2,25,0,47,0,0,26
