# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22393,3,1,48,19,30,0,7,6
84,475,3,1,0,20,0,1,2
1,5,49,1,0,16,0,3,4
185,5,1,523,18,21,0,3,2
25,0,0,38,1365,0,0,0,0
164,41,10,56,0,292,1,3,4
0,0,0,0,0,0,21,0,0
1,2,1,4,1,6,2,91,0
103,0,3,9,2,18,0,0,68
