# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22332,12,1,51,16,51,0,1,43
31,531,4,0,0,18,0,0,2
0,0,63,1,0,11,0,1,3
104,5,3,587,19,30,0,3,7
13,0,0,9,1405,0,0,0,1
63,12,6,17,1,457,0,1,14
0,0,0,2,0,0,19,0,0
1,0,2,3,1,8,2,91,0
21,0,0,0,2,5,0,0,175
