# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22249,19,1,94,19,67,0,7,51
22,546,3,0,0,12,0,0,3
0,1,66,1,0,5,0,2,4
84,5,1,615,15,26,0,5,7
11,0,0,14,1403,0,0,0,0
65,30,10,28,0,428,0,1,9
0,0,0,1,0,0,20,0,0
1,1,1,2,0,4,2,97,0
30,0,0,1,2,7,0,0,163
