# none,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
22345,13,1,63,25,39,0,5,16
52,483,9,2,0,38,0,0,2
0,1,56,1,0,14,0,2,5
150,7,2,529,20,39,1,6,4
18,0,0,21,1388,0,0,0,1
117,57,13,31,1,337,1,2,12
0,0,0,1,0,0,20,0,0
1,2,1,2,2,4,2,94,0
95,2,1,5,1,22,0,0,77
